adsh	tag	version	coreg	ddate	qtrs	uom	value	footnote
0001031296-09-000011	TaxesOtherThanIncomeExciseProductionAndPropertyTaxes	us-gaap/2008		20090331	1	USD	211000000.0000	
0001193125-09-088639	TaxesOtherThanIncomeExciseProductionAndPropertyTaxes	us-gaap/2008		20080331	1	USD	71606000.0000	
0000277948-09-000066	FuelCosts	us-gaap/2008		20080331	1	USD	441000000.0000	
0000891618-09-000150	LongTermDebtCurrent	us-gaap/2008		20081231	0	USD	169000000.0000	
0001002638-09-000023	EarningsPerShareDiluted	us-gaap/2008		20090331	1	USD	0.4100	
0001193125-09-102866	RepaymentsOfLongTermDebt	us-gaap/2008		20090331	1	USD	58000000.0000	
0001104659-09-031513	MinorityInterestInNetIncomeLossOfConsolidatedEntities	us-gaap/2008		20080331	1	USD	7633000.0000	
0001193125-09-101639	IncomeLossFromContinuingOperations	us-gaap/2008		20080331	1	USD	182000000.0000	
0001193125-09-088631	OtherGeneralExpense	us-gaap/2008		20090331	1	USD	665000.0000	
0001193125-09-124260	MarketableSecuritiesNoncurrent	us-gaap/2008		20090430	0	USD	7600000.0000	
0001104659-09-031513	DeferredTaxAssetsNetNoncurrent	us-gaap/2008		20090331	0	USD	388647000.0000	
0001104659-09-031513	AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment	us-gaap/2008		20090331	0	USD	730097000.0000	
0000796343-09-000026	LiabilitiesAndStockholdersEquity	us-gaap/2008		20090531	0	USD	6063745000.0000	
0000796343-09-000026	AccruedIncomeTaxesPayable	us-gaap/2008		20090531	0	USD	11024000.0000	
0001193125-09-102866	AmortizationOfIntangibleAssets	us-gaap/2008		20080331	1	USD	48000000.0000	
0001193125-09-124260	LicenseCosts	us-gaap/2008		20090430	1	USD	49500000.0000	
0001193125-09-102866	OtherPayables	0001193125-09-102866		20081231	0	USD	621000000.0000	
0001193125-09-101639	AssetsCurrent	us-gaap/2008		20081231	0	USD	3281000000.0000	
0000796343-09-000026	AllowanceForDoubtfulAccountsReceivableCurrent	us-gaap/2008		20081130	0	USD	4128000.0000	
0000796343-09-000026	Revenues	us-gaap/2008		20080531	1	USD	886886000.0000	
0001104659-09-025790	AssetsCurrent	us-gaap/2008		20081231	0	USD	179388000.0000	
0001031296-09-000011	MinorityInterest	us-gaap/2008		20081231	0	USD	32000000.0000	
0000038074-09-000029	InvestmentIncomeInterest	us-gaap/2008		20080331	4	USD	108680000.0000	
0001031296-09-000011	CashAndCashEquivalentsAtCarryingValue	us-gaap/2008		20071231	0	USD	129000000.0000	
0001002638-09-000023	RestructuringCharges	us-gaap/2008		20080331	3	USD	-122000.0000	
0001193125-09-100014	AccumulatedOtherComprehensiveIncomeLossNetOfTax	us-gaap/2008		20081231	0	USD	1141000000.0000	
0001193125-09-109617	LiabilitiesCurrent	us-gaap/2008		20090331	0	USD	2228000000.0000	
0001104659-09-029605	FranchiseAndDevelopmentFeesDomestic	0001104659-09-029605		20090331	1	USD	228000.0000	
0000891618-09-000166	PensionAndOtherPostretirementDefinedBenefitPlansNoncurrentLiabilities	us-gaap/2008		20081231	0	USD	6725000000.0000	
0001193125-09-088639	IncreaseDecreaseOtherCurrentLiabilities	0001193125-09-088639		20090331	1	USD	26250000.0000	
0000796343-09-000026	ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost	us-gaap/2008		20090531	2	USD	288387000.0000	
0000891618-09-000166	EffectOfExchangeRateOnCashAndCashEquivalents	us-gaap/2008		20090331	1	USD	-36000000.0000	
0001193125-09-101273	ReceivablesNetCurrent	us-gaap/2008		20081231	0	USD	515100000.0000	
0001002638-09-000023	DeferredTaxAssetsNetCurrent	us-gaap/2008		20080630	0	USD	13455000.0000	
0000038074-09-000029	IncreaseDecreaseInAccruedIncomeTaxesPayable	us-gaap/2008		20090331	4	USD	65979000.0000	
0001193125-09-088631	NetCashProvidedByUsedInOperatingActivities	us-gaap/2008		20090331	1	USD	126437000.0000	
0001193125-09-101273	IncreaseDecreaseInOtherOperatingLiabilities	us-gaap/2008		20090331	1	USD	4600000.0000	
0000950134-09-009913	NetIncomeLossAvailableToCommonStockholdersBasic	us-gaap/2008		20090331	1	USD	-1154857000.0000	
0001193125-09-096522	TransactionFeeRevenue	0001193125-09-096522		20080331	1	USD	1020800000.0000	
0001193125-09-088639	ExcessTaxBenefitFromShareBasedCompensationFinancingActivities	us-gaap/2008		20090331	1	USD	140000.0000	
0000950134-09-009913	LiabilitiesAndStockholdersEquity	us-gaap/2008		20090331	0	USD	2670585000.0000	
0001193125-09-101639	ShareBasedCompensation	us-gaap/2008		20080331	1	USD	7500000.0000	
0000038074-09-000029	TreasuryStockValue	us-gaap/2008		20090331	0	USD	-3750966000.0000	
0000831259-09-000047	ProceedsFromOtherDebt	us-gaap/2008		20080331	1	USD	473000000.0000	
0001193125-09-111401	AssetsCurrent	us-gaap/2008		20081231	0	USD	5106000.0000	
